/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-3.x2 : 210 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-3.x5 : 210 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-4.x0 : 237 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-4.x1 : 222 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-5.x0 : 590 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-5.x1 : 525 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-5.x2 : 421 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-5.x3 : 197 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-5.x5 : 1021 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000722-1.x0 : 486 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000722-1.x1 : 379 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000722-1.x2 : 379 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000722-1.x3 : 197 cycles, 3 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000722-1.x5 : 379 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000726-1.x0 : 687 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000726-1.x1 : 639 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000726-1.x2 : 197 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000731-1.x0 : 98477 cycles, 6 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000731-1.x1 : 72471 cycles, 5 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000731-1.x2 : 72549 cycles, 5 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000731-1.x4 : 71841 cycles, 5 ms
